num,img,title,field,organizer,start_day,finish_day,homepage
53,https://www.wevity.com/upload/contest/20241202182534_9ef9f437.jpg,2024 경남권 AWS GenAI Schumpeter Hackathon,"취업, 창업",경상국립대학교,2024-12-02,2024-12-13,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93700
54,https://www.wevity.com/upload/contest/20241202162357_71be9ec6.jpg,2025년 국립전주박물관 제5기 대학생 SNS 기자단 모집,"대외활동, 서포터즈",국립전주박물관,2024-12-02,2024-12-27,https://jeonju.museum.go.kr/board.es?mid=a10105010000&bid=0001&act=view&list_no=8783
55,https://www.wevity.com/upload/contest/20241202151855_c5c10846.jpg,2024년 창업기업제품 실증사업 시민체감형 실증제품 숏폼공모전,"영상, UCC, 사진",광주광역시,2024-12-02,2024-12-30,https://docs.google.com/forms/d/1PR32q-eRrBJlJRJUCwvlCmVQSXOV2Ywf4ctBINC9xSA/edit
56,https://www.wevity.com/upload/contest/20241202145818_7bb83098.jpg,강원도 원조 감자빵 새이름 공모전,"네이밍, 슬로건",씨앤엘영농조합법인,2024-12-01,2024-12-15,https://www.wevity.com/?c=idea&s=1&gbn=viewok&gp=1&ix=93695
57,https://www.wevity.com/upload/contest/20241202120829_88e352f7.jpg,2024년 제2차 KIAT 정보공개 모니터단 모집,"대외활동, 서포터즈",한국산업기술진흥원,2024-12-02,2024-12-11,https://www.kiat.or.kr/front/board/boardContentsView.do?board_id=5&contents_id=62db337e9a4a4980a954b7058372e16e&MenuId=2124728cc8cc4b74a31bbe97d7977c6d
58,https://www.wevity.com/upload/contest/20241202233259_b92e55ae.jpg,2024년 국립암센터 혁신·ESG경영 아이디어 공모전,"기획, 아이디어",국립암센터,2024-11-25,2024-12-20,https://www.ncc.re.kr/boardView.ncc?uri=notice07&ntcId=7577&searchKey=total&searchValue=&pageNum=1
59,https://www.wevity.com/upload/contest/20241202120514_8c7e3d00.jpg,유아용품브랜드 베베룬 서포터즈  룬메이트 2기 모집,"영상, UCC, 사진",더매너스,2024-12-02,2024-12-08,https://bebelune.com/
60,https://www.wevity.com/upload/contest/20241202232511_1bb3128f.jpg,청주시 2025년 신년화두 시민공모,"기획, 아이디어",청주시,2024-11-27,2024-12-06,https://blog.naver.com/cjcityblog/223674363665
61,https://www.wevity.com/upload/contest/20241202231230_77758b1c.jpg,원주영상미디어센터 상영관 이름 공모,"네이밍, 슬로건",원주영상미디어센터,2024-11-27,2024-12-11,https://wjmedia.or.kr/공지사항/?uid=350&mod=document
62,https://www.wevity.com/upload/contest/20241202230613_31b309e9.jpg,제 18회 토요타 드림 카 아트 콘테스트,"디자인, 캐릭터, 웹툰",한국토요타자동차(주),2024-11-28,2025-01-10,https://www.toyota.co.kr/dcacgallery/
63,https://www.wevity.com/upload/contest/20241202225508_2ea3ed1b.jpg,2025 대한민국 밤산업 박람회 전국 알밤 디저트 요리 경연대회,"예체능, 미술, 음악",공주시,2024-12-02,2024-12-20,https://www.facebook.com/photo/?fbid=122101439198644832&set=a.122100093278644832
64,https://www.wevity.com/upload/contest/20241202215107_762af165.jpg,2024 경상남도 탄소중립 쇼츠공모전,"영상, UCC, 사진",경상남도 탄소중립 지원센터,2024-11-25,2024-12-15,https://www.gnnetzero.re.kr/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=128411475&t=board
65,https://www.wevity.com/upload/contest/20241202214427_73f6f707.jpg,2024년 국내 청년의 동포 기업 인턴십 공모전,"취업, 창업",해외동포청,2024-11-27,2024-12-16,https://oka.go.kr/oka/news/notice/?boardId=bbs_0000000000000014&mode=view&cntId=80
66,https://www.wevity.com/upload/contest/20241202151101_8b2bf7e9.jpg,HOOK 학습 서비스 아이디어 공모전,"기획, 아이디어",새이솔㈜,2024-12-02,2024-12-22,https://hook.oopy.io
67,https://www.wevity.com/upload/contest/20241201144634_d907c1fd.jpg,2025 제15회 DB보험금융공모전,"기획, 아이디어",DB김준기문화재단,2024-12-01,2025-01-27,https://www.dbifc.co.kr/
68,https://www.wevity.com/upload/contest/20241201143606_eb859249.jpg,제 14회 나디오 공모전 (장르 ALL림픽 공모전),"문학, 글, 시나리오",나디오,2024-11-29,2024-12-29,https://www.nadio.io/contest
69,https://www.wevity.com/upload/contest/20241129183135_26ba870e.jpg,한국방송통신전파진흥원 ESG 서포터즈 모집,"대외활동, 서포터즈",한국방송통신전파진흥원,2024-11-27,2024-12-10,https://www.kca.kr/boardView.do?pageId=www47&boardId=NOTICE&seq=2306643
70,https://www.wevity.com/upload/contest/20241129203018_f5db000b.jpg,제2회 응급실 이용문화 알리기 그림 공모전,"예체능, 미술, 음악",국립중앙의료원,2024-12-02,2024-12-20,https://www.e-gen.or.kr/egen/boardimage_view.do?brdctsno=12872
71,https://www.wevity.com/upload/contest/20241129200922_2ea406ad.jpg,2024년 옥주골 문화예술 콘텐츠 공모전,"예체능, 미술, 음악",진도군,2024-11-08,2024-12-09,https://blog.naver.com/jewel-jindo/223676782983
72,https://www.wevity.com/upload/contest/20241129200256_42855081.jpg,2025 한라일보 신춘문예 공모,"문학, 글, 시나리오",한라일보,2024-11-29,2024-12-16,http://www.ihalla.com/article.php?aid=1732806000765578012
73,https://www.wevity.com/upload/contest/20241129195718_d080cfb5.jpg,은평구 인사하기 캠페인 명칭 공모,"네이밍, 슬로건",은평구,2024-11-25,2024-12-08,https://www.ep.go.kr/www/selectEminwonView.do?notAncmtMgtNo=44220&key=754
74,https://www.wevity.com/upload/contest/20241129191018_93ece140.jpg,제1회 세종대학교 미래교육원 코딩 경시대회,"게임, 소프트웨어",세종대학교 미래교육원,2024-11-25,2024-12-12,https://seon.sejong.ac.kr/summary/schedule
75,https://www.wevity.com/upload/contest/20241129182340_0831e935.jpg,제35기 대법원 영블로거위원회 공개모집,"대외활동, 서포터즈",대법원,2024-12-02,2024-12-16,https://blog.naver.com/law_zzang/223661630563
76,https://www.wevity.com/upload/contest/20241128181206_e1c740ea.jpg,[잠실청소년센터] 2024년 잠실산타 이즈 커밍 청소년 산타 모집,봉사활동,잠실청소년센터,2024-11-18,2024-12-13,https://www.1365.go.kr/vols/1572247904127/partcptn/timeCptn.do?type=show&progrmRegistNo=3215079
77,https://www.wevity.com/upload/contest/20241128174606_d0f92239.jpg,경매 낙찰가 맞추기 전국경연대회,기타,세종사이버대학교 자산관리건축건설학부,2024-12-01,2025-01-15,https://www.taein.co.kr/event/event_bid.php
78,https://www.wevity.com/upload/contest/20241128174004_5f0a35fb.jpg,자생한방병원 서포터즈 3기 모집,"대외활동, 서포터즈",자생한방병원,2024-12-02,2024-12-27,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93652
79,https://www.wevity.com/upload/contest/20241128124449_7aaa2acc.jpg,2025년 제9대 도봉구 어린이·청소년의회 대학생 보좌관(멘토) 모집,봉사활동,도봉구청,2024-12-03,2024-12-20,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93647
80,https://www.wevity.com/upload/contest/20241128203630_dea89c9a.jpg,과학기술정보통신부 제2기 2030 자문단 모집,"대외활동, 서포터즈",과학기술정보통신부,2024-11-28,2024-12-09,https://www.2030db.go.kr/user/ntt/BBS_0000000000000005/NTT_0000000000000340/selectNttDetail.do
81,https://www.wevity.com/upload/contest/20241128193439_e0cf2f16.jpg,2024 순천시 고향사랑기부제 기금사업 아이디어 공모전,"기획, 아이디어",순천시,2024-11-27,2024-12-27,https://blog.naver.com/hongane2013/223675644540
82,https://www.wevity.com/upload/contest/20241128183104_62345f15.jpg,2025 시민소통 공예프로그램 공예동행 박물관 공모전,"예체능, 미술, 음악",서울공예박물관,2025-01-01,2025-01-31,https://craftmuseum.seoul.go.kr/introduce/news_view/NTT_0000000282
83,https://www.wevity.com/upload/contest/20241127174424_c717f3fe.jpg,﻿제너시스BBQ그룹의 글로벌 인스타 서포터즈 비글(B글) 3기 모집,"대외활동, 서포터즈",(주)제너시스,2024-11-27,2024-12-13,https://genesiskorea.co.kr/
84,https://www.wevity.com/upload/contest/20241127173852_a84c2f6d.jpg,2025 제3회 김광석 노래상 경연대회,"예체능, 미술, 음악",김광석추모사업회,2024-11-22,2024-12-20,https://www.instagram.com/singerks0106/
85,https://www.wevity.com/upload/contest/20241127152544_4fc2c3da.jpg,2024 CJ BEST JOYFULMOMENTS 콘테스트,"영상, UCC, 사진",CJ그룹,2024-11-27,2024-12-11,https://www.instagram.com/p/DC27BSayin5/?img_index=1
